2019-12-16 13:15:09 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2019-12-16 13:15:09 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2019-12-16 13:15:09 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2019-12-16 13:15:09 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2019-12-16 13:15:09 install libc-bin:amd64 <none> 2.27-3ubuntu1
2019-12-16 13:15:09 status half-installed libc-bin:amd64 2.27-3ubuntu1
2019-12-16 13:15:10 status unpacked libc-bin:amd64 2.27-3ubuntu1
2019-12-16 13:15:10 status unpacked libc-bin:amd64 2.27-3ubuntu1
2019-12-16 13:15:10 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2019-12-16 13:15:10 status half-configured libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:10 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:10 status half-installed libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:11 status half-installed libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:11 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:11 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:15:11 install libcap-ng0:amd64 <none> 0.7.7-3.1
2019-12-16 13:15:11 status half-installed libcap-ng0:amd64 0.7.7-3.1
2019-12-16 13:15:11 status unpacked libcap-ng0:amd64 0.7.7-3.1
2019-12-16 13:15:11 status unpacked libcap-ng0:amd64 0.7.7-3.1
2019-12-16 13:15:12 install libcom-err2:amd64 <none> 1.44.1-1
2019-12-16 13:15:12 status half-installed libcom-err2:amd64 1.44.1-1
2019-12-16 13:15:12 status unpacked libcom-err2:amd64 1.44.1-1
2019-12-16 13:15:12 status unpacked libcom-err2:amd64 1.44.1-1
2019-12-16 13:15:12 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2019-12-16 13:15:12 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-12-16 13:15:15 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-12-16 13:15:15 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-12-16 13:15:16 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2019-12-16 13:15:16 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2019-12-16 13:15:16 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2019-12-16 13:15:16 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2019-12-16 13:15:16 install libext2fs2:amd64 <none> 1.44.1-1
2019-12-16 13:15:16 status half-installed libext2fs2:amd64 1.44.1-1
2019-12-16 13:15:16 status unpacked libext2fs2:amd64 1.44.1-1
2019-12-16 13:15:16 status unpacked libext2fs2:amd64 1.44.1-1
2019-12-16 13:15:17 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:17 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:17 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:17 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:17 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2019-12-16 13:15:17 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2019-12-16 13:15:17 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2019-12-16 13:15:17 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2019-12-16 13:15:18 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2019-12-16 13:15:18 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2019-12-16 13:15:18 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2019-12-16 13:15:18 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2019-12-16 13:15:18 install libgpg-error0:amd64 <none> 1.27-6
2019-12-16 13:15:18 status half-installed libgpg-error0:amd64 1.27-6
2019-12-16 13:15:18 status unpacked libgpg-error0:amd64 1.27-6
2019-12-16 13:15:18 status unpacked libgpg-error0:amd64 1.27-6
2019-12-16 13:15:18 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2019-12-16 13:15:18 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2019-12-16 13:15:19 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2019-12-16 13:15:19 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2019-12-16 13:15:20 install liblzma5:amd64 <none> 5.2.2-1.3
2019-12-16 13:15:20 status half-installed liblzma5:amd64 5.2.2-1.3
2019-12-16 13:15:20 status unpacked liblzma5:amd64 5.2.2-1.3
2019-12-16 13:15:20 status unpacked liblzma5:amd64 5.2.2-1.3
2019-12-16 13:15:20 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:20 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:20 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:20 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:21 install libncurses5:amd64 <none> 6.1-1ubuntu1
2019-12-16 13:15:21 status half-installed libncurses5:amd64 6.1-1ubuntu1
2019-12-16 13:15:21 status unpacked libncurses5:amd64 6.1-1ubuntu1
2019-12-16 13:15:21 status unpacked libncurses5:amd64 6.1-1ubuntu1
2019-12-16 13:15:21 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2019-12-16 13:15:21 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2019-12-16 13:15:21 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2019-12-16 13:15:21 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2019-12-16 13:15:22 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:22 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:23 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2019-12-16 13:15:24 install libpcre3:amd64 <none> 2:8.39-9
2019-12-16 13:15:24 status half-installed libpcre3:amd64 2:8.39-9
2019-12-16 13:15:24 status unpacked libpcre3:amd64 2:8.39-9
2019-12-16 13:15:24 status unpacked libpcre3:amd64 2:8.39-9
2019-12-16 13:15:24 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2019-12-16 13:15:24 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2019-12-16 13:15:24 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2019-12-16 13:15:24 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2019-12-16 13:15:25 install libselinux1:amd64 <none> 2.7-2build2
2019-12-16 13:15:25 status half-installed libselinux1:amd64 2.7-2build2
2019-12-16 13:15:25 status unpacked libselinux1:amd64 2.7-2build2
2019-12-16 13:15:25 status unpacked libselinux1:amd64 2.7-2build2
2019-12-16 13:15:25 install libsemanage-common:all <none> 2.7-2build2
2019-12-16 13:15:25 status half-installed libsemanage-common:all 2.7-2build2
2019-12-16 13:15:25 status unpacked libsemanage-common:all 2.7-2build2
2019-12-16 13:15:25 status unpacked libsemanage-common:all 2.7-2build2
2019-12-16 13:15:25 install libsemanage1:amd64 <none> 2.7-2build2
2019-12-16 13:15:25 status half-installed libsemanage1:amd64 2.7-2build2
2019-12-16 13:15:26 status unpacked libsemanage1:amd64 2.7-2build2
2019-12-16 13:15:26 status unpacked libsemanage1:amd64 2.7-2build2
2019-12-16 13:15:26 install libsepol1:amd64 <none> 2.7-1
2019-12-16 13:15:26 status half-installed libsepol1:amd64 2.7-1
2019-12-16 13:15:26 status unpacked libsepol1:amd64 2.7-1
2019-12-16 13:15:26 status unpacked libsepol1:amd64 2.7-1
2019-12-16 13:15:26 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:26 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:27 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:27 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:27 install libss2:amd64 <none> 1.44.1-1
2019-12-16 13:15:27 status half-installed libss2:amd64 1.44.1-1
2019-12-16 13:15:27 status unpacked libss2:amd64 1.44.1-1
2019-12-16 13:15:27 status unpacked libss2:amd64 1.44.1-1
2019-12-16 13:15:27 install libsystemd0:amd64 <none> 237-3ubuntu10
2019-12-16 13:15:27 status half-installed libsystemd0:amd64 237-3ubuntu10
2019-12-16 13:15:27 status unpacked libsystemd0:amd64 237-3ubuntu10
2019-12-16 13:15:28 status unpacked libsystemd0:amd64 237-3ubuntu10
2019-12-16 13:15:28 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2019-12-16 13:15:28 status half-installed libtinfo5:amd64 6.1-1ubuntu1
2019-12-16 13:15:28 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2019-12-16 13:15:28 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2019-12-16 13:15:28 install libudev1:amd64 <none> 237-3ubuntu10
2019-12-16 13:15:28 status half-installed libudev1:amd64 237-3ubuntu10
2019-12-16 13:15:28 status unpacked libudev1:amd64 237-3ubuntu10
2019-12-16 13:15:29 status unpacked libudev1:amd64 237-3ubuntu10
2019-12-16 13:15:29 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:29 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:29 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:29 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:29 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2019-12-16 13:15:29 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2019-12-16 13:15:29 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2019-12-16 13:15:30 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2019-12-16 13:15:30 install login:amd64 <none> 1:4.5-1ubuntu1
2019-12-16 13:15:30 status half-installed login:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:30 status unpacked login:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:30 status unpacked login:amd64 1:4.5-1ubuntu1
2019-12-16 13:15:30 install lsb-base:all <none> 9.20170808ubuntu1
2019-12-16 13:15:30 status half-installed lsb-base:all 9.20170808ubuntu1
2019-12-16 13:15:30 status unpacked lsb-base:all 9.20170808ubuntu1
2019-12-16 13:15:30 status unpacked lsb-base:all 9.20170808ubuntu1
2019-12-16 13:15:31 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-12-16 13:15:31 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:15:31 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:31 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:31 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:31 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:32 install ncurses-base:all <none> 6.1-1ubuntu1
2019-12-16 13:15:32 status half-installed ncurses-base:all 6.1-1ubuntu1
2019-12-16 13:15:32 status unpacked ncurses-base:all 6.1-1ubuntu1
